data, sillyHash, FirstLetter, WordLen, LetterSum, Rolleft, MyHash, 
270, 0, 0, 0, 13, 56, 48, 
271, 0, 0, 0, 12, 60, 39, 
272, 0, 0, 0, 9, 46, 61, 
273, 0, 0, 0, 8, 55, 61, 
274, 0, 0, 0, 10, 54, 55, 
275, 0, 0, 0, 9, 60, 53, 
276, 0, 0, 0, 13, 50, 43, 
277, 0, 0, 0, 13, 63, 50, 
278, 0, 0, 0, 14, 68, 52, 
279, 0, 0, 0, 11, 61, 49, 
280, 0, 0, 0, 13, 65, 59, 
281, 0, 0, 0, 13, 41, 56, 
282, 0, 0, 0, 11, 59, 49, 
283, 0, 0, 0, 8, 63, 48, 
284, 0, 0, 0, 15, 52, 50, 
285, 0, 0, 0, 11, 52, 55, 
286, 0, 0, 0, 10, 46, 64, 
287, 0, 0, 0, 15, 56, 48, 
288, 0, 0, 0, 20, 49, 52, 
289, 0, 0, 0, 11, 58, 50, 
290, 0, 0, 0, 15, 45, 60, 
291, 0, 0, 0, 11, 60, 56, 
292, 0, 0, 0, 14, 54, 37, 
293, 0, 0, 0, 12, 49, 48, 
294, 0, 0, 0, 16, 39, 52, 
295, 0, 0, 0, 17, 64, 56, 
296, 0, 0, 0, 10, 44, 49, 
297, 0, 0, 0, 14, 51, 75, 
298, 0, 0, 0, 22, 70, 67, 
299, 0, 0, 0, 24, 48, 64, 
300, 0, 0, 0, 12, 55, 49, 
301, 0, 0, 0, 13, 50, 56, 
302, 0, 0, 0, 13, 54, 66, 
303, 0, 0, 0, 14, 41, 66, 
304, 0, 0, 0, 21, 65, 67, 
305, 0, 0, 0, 14, 45, 51, 
306, 0, 0, 0, 21, 56, 51, 
307, 0, 0, 0, 13, 63, 43, 
308, 0, 0, 0, 22, 57, 69, 
309, 0, 0, 0, 22, 59, 61, 
310, 0, 0, 0, 18, 52, 55, 
311, 0, 0, 0, 21, 61, 60, 
312, 0, 0, 0, 31, 64, 58, 
313, 0, 0, 0, 21, 44, 77, 
314, 0, 0, 0, 28, 54, 53, 
315, 0, 0, 0, 19, 52, 71, 
316, 0, 0, 0, 23, 46, 51, 
317, 0, 0, 0, 24, 44, 47, 
318, 0, 0, 0, 26, 49, 66, 
319, 0, 0, 0, 19, 55, 46, 
320, 0, 0, 0, 24, 41, 68, 
321, 0, 0, 0, 30, 56, 64, 
322, 0, 0, 0, 24, 41, 54, 
323, 0, 0, 0, 21, 46, 39, 
324, 0, 0, 0, 32, 50, 55, 
325, 0, 0, 0, 24, 46, 48, 
326, 0, 0, 0, 19, 56, 68, 
327, 0, 0, 0, 33, 60, 63, 
328, 0, 0, 0, 27, 58, 56, 
329, 0, 0, 0, 21, 58, 71, 
330, 0, 0, 0, 28, 52, 55, 
331, 0, 0, 0, 26, 53, 49, 
332, 0, 0, 0, 25, 51, 53, 
333, 0, 0, 0, 21, 56, 48, 
334, 0, 0, 0, 30, 46, 42, 
335, 0, 0, 0, 21, 43, 53, 
336, 0, 0, 0, 22, 65, 68, 
337, 0, 0, 0, 23, 55, 43, 
338, 0, 0, 0, 27, 58, 77, 
339, 0, 0, 0, 26, 59, 66, 
340, 0, 0, 0, 18, 59, 74, 
341, 0, 0, 0, 32, 62, 75, 
342, 0, 0, 0, 21, 44, 57, 
343, 0, 0, 0, 34, 60, 64, 
344, 0, 0, 0, 29, 66, 61, 
345, 0, 0, 0, 28, 50, 63, 
